date_pollutant_added,date_experiment,replicate_number,part_hidden,treatment,percentile,time_min,copepod_count,proportion
11/9/2021,11/9/2021,2,bottom,control,75-100,30,5,0.05
11/9/2021,11/9/2021,2,bottom,control,50-75,30,3,0.03
11/9/2021,11/9/2021,2,bottom,env_rel,75-100,30,4,0.04
11/9/2021,11/9/2021,2,bottom,env_rel,50-75,30,3,0.03
11/9/2021,11/9/2021,2,bottom,high,75-100,30,17,0.17
11/9/2021,11/9/2021,2,bottom,high,50-75,30,6,0.06
11/9/2021,11/9/2021,3,bottom,control,75-100,0,16,0.16
11/9/2021,11/9/2021,3,bottom,control,50-75,0,7,0.07
11/9/2021,11/9/2021,3,bottom,env_rel,75-100,0,15,0.15
11/9/2021,11/9/2021,3,bottom,env_rel,50-75,0,12,0.12
11/9/2021,11/9/2021,3,bottom,high,75-100,0,17,0.17
11/9/2021,11/9/2021,3,bottom,high,50-75,0,10,0.1
11/9/2021,11/9/2021,3,bottom,control,75-100,5,11,0.11
11/9/2021,11/9/2021,3,bottom,control,50-75,5,5,0.05
11/9/2021,11/9/2021,3,bottom,env_rel,75-100,5,5,0.05
11/9/2021,11/9/2021,3,bottom,env_rel,50-75,5,4,0.04
11/9/2021,11/9/2021,3,bottom,high,75-100,5,8,0.08
11/9/2021,11/9/2021,3,bottom,high,50-75,5,6,0.06
11/9/2021,11/9/2021,3,bottom,control,75-100,10,2,0.02
11/9/2021,11/9/2021,3,bottom,control,50-75,10,5,0.05
11/9/2021,11/9/2021,3,bottom,env_rel,75-100,10,2,0.02
11/9/2021,11/9/2021,3,bottom,env_rel,50-75,10,1,0.01
11/9/2021,11/9/2021,3,bottom,high,75-100,10,15,0.15
11/9/2021,11/9/2021,3,bottom,high,50-75,10,11,0.11
11/9/2021,11/9/2021,3,bottom,control,75-100,15,6,0.06
11/9/2021,11/9/2021,3,bottom,control,50-75,15,2,0.02
11/9/2021,11/9/2021,3,bottom,env_rel,75-100,15,3,0.03
11/9/2021,11/9/2021,3,bottom,env_rel,50-75,15,1,0.01
11/9/2021,11/9/2021,3,bottom,high,75-100,15,14,0.14
11/9/2021,11/9/2021,3,bottom,high,50-75,15,12,0.12
11/9/2021,11/9/2021,3,bottom,control,75-100,20,4,0.04
11/9/2021,11/9/2021,3,bottom,control,50-75,20,3,0.03
11/9/2021,11/9/2021,3,bottom,env_rel,75-100,20,2,0.02
11/9/2021,11/9/2021,3,bottom,env_rel,50-75,20,2,0.02
11/9/2021,11/9/2021,3,bottom,high,75-100,20,14,0.14
11/9/2021,11/9/2021,3,bottom,high,50-75,20,10,0.1
11/9/2021,11/9/2021,3,bottom,control,75-100,25,6,0.06
11/9/2021,11/9/2021,3,bottom,control,50-75,25,1,0.01
11/9/2021,11/9/2021,3,bottom,env_rel,75-100,25,1,0.01
11/9/2021,11/9/2021,3,bottom,env_rel,50-75,25,1,0.01
11/9/2021,11/9/2021,3,bottom,high,75-100,25,12,0.12
11/9/2021,11/9/2021,3,bottom,high,50-75,25,5,0.05
11/9/2021,11/9/2021,3,bottom,control,75-100,30,5,0.05
11/9/2021,11/9/2021,3,bottom,control,50-75,30,5,0.05
11/9/2021,11/9/2021,3,bottom,env_rel,75-100,30,2,0.02
11/9/2021,11/9/2021,3,bottom,env_rel,50-75,30,2,0.02
11/9/2021,11/9/2021,3,bottom,high,75-100,30,13,0.13
11/9/2021,11/9/2021,3,bottom,high,50-75,30,6,0.06
11/9/2021,11/9/2021,4,bottom,control,75-100,0,22,0.22
11/9/2021,11/9/2021,4,bottom,control,50-75,0,11,0.11
11/9/2021,11/9/2021,4,bottom,env_rel,75-100,0,20,0.2
11/9/2021,11/9/2021,4,bottom,env_rel,50-75,0,13,0.13
11/9/2021,11/9/2021,4,bottom,high,75-100,0,26,0.26
11/9/2021,11/9/2021,4,bottom,high,50-75,0,9,0.09
11/9/2021,11/9/2021,4,bottom,control,75-100,5,9,0.09
11/9/2021,11/9/2021,4,bottom,control,50-75,5,8,0.08
11/9/2021,11/9/2021,4,bottom,env_rel,75-100,5,7,0.07
11/9/2021,11/9/2021,4,bottom,env_rel,50-75,5,6,0.06
11/9/2021,11/9/2021,4,bottom,high,75-100,5,17,0.17
11/9/2021,11/9/2021,4,bottom,high,50-75,5,9,0.09
11/9/2021,11/9/2021,4,bottom,control,75-100,10,5,0.05
11/9/2021,11/9/2021,4,bottom,control,50-75,10,3,0.03
11/9/2021,11/9/2021,4,bottom,env_rel,75-100,10,6,0.06
11/9/2021,11/9/2021,4,bottom,env_rel,50-75,10,5,0.05
11/9/2021,11/9/2021,4,bottom,high,75-100,10,18,0.18
11/9/2021,11/9/2021,4,bottom,high,50-75,10,6,0.06
11/9/2021,11/9/2021,4,bottom,control,75-100,15,3,0.03
11/9/2021,11/9/2021,4,bottom,control,50-75,15,1,0.01
11/9/2021,11/9/2021,4,bottom,env_rel,75-100,15,5,0.05
11/9/2021,11/9/2021,4,bottom,env_rel,50-75,15,3,0.03
11/9/2021,11/9/2021,4,bottom,high,75-100,15,15,0.15
11/9/2021,11/9/2021,4,bottom,high,50-75,15,10,0.1
11/9/2021,11/9/2021,4,bottom,control,75-100,20,3,0.03
11/9/2021,11/9/2021,4,bottom,control,50-75,20,2,0.02
11/9/2021,11/9/2021,4,bottom,env_rel,75-100,20,4,0.04
11/9/2021,11/9/2021,4,bottom,env_rel,50-75,20,2,0.02
11/9/2021,11/9/2021,4,bottom,high,75-100,20,11,0.11
11/9/2021,11/9/2021,4,bottom,high,50-75,20,7,0.07
11/9/2021,11/9/2021,4,bottom,control,75-100,25,2,0.02
11/9/2021,11/9/2021,4,bottom,control,50-75,25,1,0.01
